ID,PFS_Paper,Final_judge_PFS,ORR_Paper,Final_judge_ORR,Blinding_Central,Trial_phase,Trial_number,Trial_name,Tumor,Funding,Industry_name,Trial_arm,Treatment_line,Drug_name_intervention,Drug_classification_intervention,Drug_name_control,Drug_classification_control,Primary_outcome,Response_criteria,Randomized_patient_number_intervention,Randomized_patient_number_control,Follow_up_period_months_median,PFS_INV_HR,PFS_INV_95%CI_lower,PFS_INV_95%CI_upper,PFS_CNT_HR,PFS_CNT_95%CI_lower,PFS_CNT_95%CI_upper,ORR_N_INV_intervention,CR+PR_INV_intervention,ORR_N_INV_control,CR+PR_INV_control,ORR_N_CNT_intervention,CR+PR_CNT_intervention,ORR_N_CNT_control,CR+PR_CNT_control,Median_OS_intervention,Median_OS_control,OS_HR,OS_95%CI_lower,OS_95%CI_upper,title,journal,year,authors,url,pubmed_id,Reason_PFS,Reason_ORR
800,Investigator + Central,Cental,Investigator + Central,Cental,Blinding,Phase 3,NCT01721746,CheckMate 037,Melanoma,Industry,Bristol-Myers Squibb.,2,≥2,Nivolumab,Immune checkpoint inhibitor,chemotherapy,chemotherapy,OS and ORR,RECIST 1.1,272,133,8.4,NA,NA,NA,"0.82; 99·99% CI 0.32–2.05,",,,NA,NA,NA,NA,120,38,47,5,NR,NR,NR,NR,NR,"Nivolumab versus chemotherapy in patients with advanced melanoma who progressed after anti-CTLA-4 treatment (CheckMate 037): a randomised, controlled, open-label, phase 3 trial.",The Lancet. Oncology,2015,Weber JS and D'Angelo SP and Minor D and Hodi FS and Gutzmer R and Neyns B and Hoeller C and Khushalani NI and Miller WH Jr and Lao CD and Linette GP and Thomas L and Lorigan P and Grossmann KF and Hassel JC and Maio M and Sznol M and Ascierto PA and Mohr P and Chmielowski B and Bryce A and Svane IM and Grob JJ and Krackhardt AM and Horak C and Lambert A and Yang AS and Larkin J,https://pubmed.ncbi.nlm.nih.gov/25795410/,25795410,No local,No local
839,Investigator + Central,Central,Investigator + Central,Investigator,No blinding,Phase 3,NCT00720512,BEBYP,Colorectal cancer,Public,Italian Gruppo Oncologico Nord-Ovest cooperative group and the ARCO onlus foundation and Italian Drug Regulatory Agency,2,2,Bevacizumab and chemotherapy,Target therapy and Chemotherapy,Chemotherapy,Chemotherapy,PFS,RECIST 1.0,92,92,45.3,0.7,0.52,0.95,NA,NA,NA,92,21,92,17,NA,NA,NA,NA,14.1,15.5,0.77,0.56,1.06,Continuation or reintroduction of bevacizumab beyond progression to first-line therapy in metastatic colorectal cancer: final results of the randomized BEBYP trial.,Annals of oncology : official journal of the European Society for Medical Oncology,2015,Masi G and Salvatore L and Boni L and Loupakis F and Cremolini C and Fornaro L and Schirripa M and Cupini S and Barbara C and Safina V and Granetto C and Fea E and Antonuzzo L and Boni C and Allegrini G and Chiara S and Amoroso D and Bonetti A and Falcone A,https://pubmed.ncbi.nlm.nih.gov/25600568/,25600568,No central,No central
861,Investigator + Central,Central?,Investigator + Central,Central?,Unclear,Phase 2,NCT00418743,GFPC 0501,Small-cell lung cancer,Industry,"AMGEN France, Baxter, UCB",2,2,"Oral Chemotherapy (Lomustine,Cyclophosphamide, Etoposide)
",Chemotherapy,"Intravenous Therapy (Cyclophosphamide, Doxorubicin, and Vincristine)",Chemotherapy,OS,RECIST 1.1,65,66,NA,NA,NA,NA,1.03,NA,NA,NA,NA,NA,NA,65,19,66,18,6.1,5.8,0.94,NA,NA,"Second-line oral chemotherapy (lomustine, cyclophosphamide, etoposide) versus intravenous therapy (cyclophosphamide, doxorubicin, and vincristine) in patients with relapsed small cell lung cancer: a randomized phase II study of GFPC 0501.",Clinical lung cancer,2015,Gervais R and Le Caer H and Monnet I and Falchero L and Baize N and Olivero G and Thomas P and Berard H and Auliac JB and Chouaid C,https://pubmed.ncbi.nlm.nih.gov/25467927/,25467927,No PFS,No local
873,Investigator + Central,Central? No HR,Investigator + Central,Central?,Unclear,Phase 2,NCT01107444,No name,Non-small cell lung cancer,Industry,Eli Lilly,2,2,LY2181308 and Docetaxel,Chemotherapy,Docetaxel,Chemotherapy,change in tumor size,RECIST 1.1,120,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,114,7,48,1,7.9,8.8,P=0.481,,,Evaluation of antitumor activity using change in tumor size of the survivin antisense oligonucleotide LY2181308 in combination with docetaxel for second-line treatment of patients with non-small-cell lung cancer: a randomized open-label phase II study.,Journal of thoracic oncology : official publication of the International Association           for the Study of Lung Cancer,2014,Natale R and Blackhall F and Kowalski D and Ramlau R and Bepler G and Grossi F and Lerchenmﾃｼller C and Pinder-Schenck M and Mezger J and Danson S and Gadgeel SM and Summers Y and Callies S and Andrﾃｩ V and Das M and Lahn M and Talbot D,https://pubmed.ncbi.nlm.nih.gov/25436803/,25436803,No PFS,No local
909,Investigator + Central,"Central, No HR",Investigator + Central,Central,Unclear,Phase 2,No registry,No name,Glioblastoma,Industry,Boehringer Ingelheim,3,2,afatinib,Target therapy,temozolomide,Chemotherapy,PFS,RANO criteria,41,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41,1,39,4,9.8,10.6,NA,NA,NA,"Phase I/randomized phase II study of afatinib, an irreversible ErbB family blocker, with or without protracted temozolomide in adults with recurrent glioblastoma.",Neuro-oncology,2015,Reardon DA and Nabors LB and Mason WP and Perry JR and Shapiro W and Kavan P and Mathieu D and Phuphanich S and Cseh A and Fu Y and Cong J and Wind S and Eisenstat DD,https://pubmed.ncbi.nlm.nih.gov/25140039/,25140039,No PFS,No local
911,Investigator + Central,Central,No ORR,No ORR,Blinding,Phase 2,No registry,No name,Gastrointestinal stromal tumours,Industry,AB Science,2,2,Masitinib,Target therapy,Sunitinib,Target therapy,PFS,RECIST 1.0? 1.1?,23,21,14,NA,NA,NA,1.1,0.6,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NR,15.2,0.27,0.09,0.85,Masitinib in advanced gastrointestinal stromal tumor (GIST) after failure of imatinib: a randomized controlled open-label trial.,Annals of oncology : official journal of the European Society for Medical Oncology,2014,Adenis A and Blay JY and Bui-Nguyen B and Bouchﾃｩ O and Bertucci F and Isambert N and Bompas E and Chaigneau L and Domont J and Ray-Coquard I and Blﾃｩsius A and Van Tine BA and Bulusu VR and Dubreuil P and Mansfield CD and Acin Y and Moussy A and Hermine O and Le Cesne A,https://pubmed.ncbi.nlm.nih.gov/25122671/,25122671,No local,No ORR
996,Investigator + Central,Central,Investigator + Central,Central,Blinding,Phase 3,NCT00294996,STM01-102,Breast cancer,Industry,Sopherion Therapeutics,2,1,nonpegylated liposomal doxorubicin + trastuzumab + paclitaxel,Target therapy and Chemotherapy,trastuzumab + paclitaxel,Target therapy and Chemotherapy,PFS,RECIST 1.0,181,182,31,NA,NA,NA,0.837,0.648,1.082,NA,NA,NA,NA,181,121,182,113,33.6,29,0.793,0.61,1.031,Phase III trial of nonpegylated liposomal doxorubicin in combination with trastuzumab and paclitaxel in HER2-positive metastatic breast cancer.,Annals of oncology : official journal of the European Society for Medical Oncology,2014,Baselga J and Manikhas A and Cortﾃｩs J and Llombart A and Roman L and Semiglazov VF and Byakhov M and Lokanatha D and Forenza S and Goldfarb RH and Matera J and Azarnia N and Hudis CA and Rozencweig M,https://pubmed.ncbi.nlm.nih.gov/24401928/,24401928,No local,No local
1004,Investigator + Central,Investigator,Investigator + Central,Investigator,Unclear,Phase 2,NCT00456833,No name,Non-small cell lung cancer,Industry,Novartis Pharmaceuticals,2,≥2,Everolimus and erlotinib,Target therapy,erlotinib,Target therapy,DCR,RECIST 1.0,66,67,NA,0.769,0.506,1.167,Data not shown,,,66,8,67,7,Data not shown,,,,9.1,9.7,1.279,0.69,2.371,Phase II study of everolimus-erlotinib in previously treated patients with advanced non-small-cell lung cancer.,Annals of oncology : official journal of the European Society for Medical Oncology,2014,Besse B and Leighl N and Bennouna J and Papadimitrakopoulou VA and Blais N and Traynor AM and Soria JC and Gogov S and Miller N and Jehl V and Johnson BE,https://pubmed.ncbi.nlm.nih.gov/24368400/,24368400,No central,No central
1006,Investigator + Central,Central?,Investigator + Central,Central?,Unclear,Phase 3,NCT00287768,START,Gastric cancer,Industry,Sanofi,2,1,docetaxel and S‐1,Chemotherapy,S‐1,Chemotherapy,OS,RECIST 1.0,316,323,11.4,NA,NA,NA,0.77,0.65,0.9,NA,NA,NA,NA,237,92,243,65,12.5,10.8,0.84,0.71,0.99,Addition of docetaxel to S-1 without platinum prolongs survival of patients with advanced gastric cancer: a randomized study (START).,Journal of cancer research and clinical oncology,2014,Koizumi W and Kim YH and Fujii M and Kim HK and Imamura H and Lee KH and Hara T and Chung HC and Satoh T and Cho JY and Hosaka H and Tsuji A and Takagane A and Inokuchi M and Tanabe K and Okuno T and Ogura M and Yoshida K and Takeuchi M and Nakajima T,https://pubmed.ncbi.nlm.nih.gov/24366758/,24366758,No local,No local
1024,Investigator + Central,Central,Investigator + Central,Central,Blinding,Phase 3,NCT00920816,No name,Renal cell cancer,Industry,Pfizer Inc,2,1,Axitinib,Target therapy,Sorafenib,Target therapy,PFS,RECIST 1.0,192,96,NA,NA,NA,NA,0.77,0.56,1.05,NA,NA,NA,NA,192,62,96,14,NR,NR,NR,NR,NR,Axitinib versus sorafenib as first-line therapy in patients with metastatic renal-cell carcinoma: a randomised open-label phase 3 trial.,The Lancet. Oncology,2013,Hutson TE and Lesovoy V and Al-Shukri S and Stus VP and Lipatov ON and Bair AH and Rosbrook B and Chen C and Kim S and Vogelzang NJ,https://pubmed.ncbi.nlm.nih.gov/24206640/,24206640,No local,No local
1058,Investigator + Central,Investigator,Investigator + Central,Investigator,Blinding,Phase 3,NCT00637910,TAILOR,Non-small cell lung cancer,Industry,Agenzia Italiana del Farmaco,2,2,Erlotinib,Chemotherapy,docetaxel,Target therapy,OS,RECIST 1.1,112,110,33,0.71,0.53,0.95,NA,NA,NA,100,3,97,15,NA,NA,NA,NA,8.2,5.4,0.73,0.53,1,Erlotinib versus docetaxel as second-line treatment of patients with advanced non-small-cell lung cancer and wild-type EGFR tumours (TAILOR): a randomised controlled trial.,The Lancet. Oncology,2013,Garassino MC and Martelli O and Broggini M and Farina G and Veronese S and Rulli E and Bianchi F and Bettini A and Longo F and Moscetti L and Tomirotti M and Marabese M and Ganzinelli M and Lauricella C and Labianca R and Floriani I and Giaccone G and Torri V and Scanni A and Marsoni S,https://pubmed.ncbi.nlm.nih.gov/23883922/,23883922,No central,No central
1079,Investigator + Central,Investigator?,Investigator + Central,Investigator?,Unclear,Phase 3,ISRCTN93248876,PICCOLO,Colorectal cancer,Industry and Public,"Cancer Research UK, Amgen Inc.",2,≥2,Panitumumab and irinotecan,Target therapy and Chemotherapy,irinotecan,Chemotherapy,OS,RECIST 1.0,230,230,NA,0.78,0.64,0.95,NA,NA,NA,230,79,230,27,NA,NA,NA,NA,10.4,10.9,1.01,0.83,1.23,"Panitumumab and irinotecan versus irinotecan alone for patients with KRAS wild-type, fluorouracil-resistant advanced colorectal cancer (PICCOLO): a prospectively stratified randomised trial.",The Lancet. Oncology,2013,Seymour MT and Brown SR and Middleton G and Maughan T and Richman S and Gwyther S and Lowe C and Seligmann JF and Wadsley J and Maisey N and Chau I and Hill M and Dawson L and Falk S and O'Callaghan A and Benstead K and Chambers P and Oliver A and Marshall H and Napp V and Quirke P,https://pubmed.ncbi.nlm.nih.gov/23725851/,23725851,No central,No central
1169,Investigator + Central,Investigator?,Investigator + Central,Investigator?,Blinding,Phase 2,NA,No name,Non-small cell lung cancer,Public,National Cancer Center,4,1,irinotecan plus cisplatin,Chemotherapy,irinotecan plus capecitabine,Chemotherapy,ORR,RECIST 1.0,37,37,14.5,1.71,1.05,2.78,NA,NA,NA,,49%,,30%,NA,NA,NA,NA,14.5,16.1,0.62,0.39,1,A randomized phase II study of irinotecan plus cisplatin versus irinotecan plus capecitabine with or without isosorbide-5-mononitrate in advanced non-small-cell lung cancer.,Annals of oncology : official journal of the European Society for Medical Oncology,2012,Han JY and Nam BH and Kim HY and Yoon SJ and Kim HT and Lee JS,https://pubmed.ncbi.nlm.nih.gov/22782331/,22782331,No central,No ORR
1186,No PFS,TTP,Investigator + Central,Investigator?,Blinding,Phase 2,NA,TBCRC 001,Breast cancer,Industry,Bristol-Myers,2,≥1,cetuximab + carboplatin,Target therapy and Chemotherapy,cetuximab,Target therapy,ORR,RECIST 1.0? 1.1?,71,31,26,NA,NA,NA,NA,NA,NA,71,12,31,2,NA,NA,NA,NA,10.4,7.5,NA,NA,NA,TBCRC 001: randomized phase II study of cetuximab in combination with carboplatin in stage IV triple-negative breast cancer.,Journal of clinical oncology : official journal of the American Society of Clinical           Oncology,2012,Carey LA and Rugo HS and Marcom PK and Mayer EL and Esteva FJ and Ma CX and Liu MC and Storniolo AM and Rimawi MF and Forero-Torres A and Wolff AC and Hobday TJ and Ivanova A and Chiu WK and Ferraro M and Burrows E and Bernard PS and Hoadley KA and Perou CM and Winer EP,https://pubmed.ncbi.nlm.nih.gov/22665533/,22665533,No PFS,No central
1192,No PFS,TTP,Investigator + Central,CBR,Unclear,Phase 2,NA,No name,Breast cancer,Industry,Novartis Pharmaceuticals,2,≥1,Tamoxifen and Everolimus,Target therapy and Chemotherapy,Everolimus,Chemotherapy,clinical benefit rate,RECIST 1.0,54,57,23.7/24.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54,5,57,5,NR,32.9,0.45,0.24,0.81,"Randomized phase II trial of everolimus in combination with tamoxifen in patients with hormone receptor-positive, human epidermal growth factor receptor 2-negative metastatic breast cancer with prior exposure to aromatase inhibitors: a GINECO study.",Journal of clinical oncology : official journal of the American Society of Clinical           Oncology,2012,Bachelot T and Bourgier C and Cropet C and Ray-Coquard I and Ferrero JM and Freyer G and Abadie-Lacourtoisie S and Eymard JC and Debled M and Spaﾃｫth D and Legouffe E and Allouache D and El Kouri C and Pujade-Lauraine E,https://pubmed.ncbi.nlm.nih.gov/22565002/,22565002,No PFS,No local
1211,No PFS,TTP,Investigator + Central,Central,Unclear,Phase 2,NCT00419042,GFPC 0505,Non-small cell lung cancer,Industry,"Roche, Lilly, Sanofi-Aventis and Chugai",2,1,gemcitabine followed by erlotinib,Target therapy and Chemotherapy,erlotinib followed by gemcitabine,Target therapy and Chemotherapy,TTP2,RECIST 1.0,44,50,NA,NA,NA,NA,NA,NA,NA,data not shown,,,,38,5,43,6,NA,NA,NA,NA,NA,"A multicenter phase II randomized trial of gemcitabine followed by erlotinib at progression, versus the reverse sequence, in vulnerable elderly patients with advanced non small-cell lung cancer selected with a comprehensive geriatric assessment (the GFPC 0505 study).","Lung cancer (Amsterdam, Netherlands)",2012,LeCaer H and Greillier L and Corre R and Jullian H and Crequit J and Falchero L and Dujon C and Berard H and Vergnenegre A and Chouaid C,https://pubmed.ncbi.nlm.nih.gov/22405570/,22405570,No PFS,No local
1217,Investigator + Central,Investigator?,Investigator + Central,Investigator?,Blinding,Phase 3,NA,First-SIGNAL,Non-small cell lung cancer,Industry and Public,National Cancer Center and AstraZeneca,2,1,Gefitinib,Target therapy,Gemcitabine and Cisplatin,Chemotherapy,OS,WHO criteria,159,154,35,1.198,0.944,1.52,NA,NA,NA,159,88,150,69,NA,NA,NA,NA,22.3,22.9,0.932,0.716,1.213,First-SIGNAL: first-line single-agent iressa versus gemcitabine and cisplatin trial in never-smokers with adenocarcinoma of the lung.,Journal of clinical oncology : official journal of the American Society of Clinical           Oncology,2012,Han JY and Park K and Kim SW and Lee DH and Kim HY and Kim HT and Ahn MJ and Yun T and Ahn JS and Suh C and Lee JS and Yoon SJ and Han JH and Lee JW and Jo SJ and Lee JS,https://pubmed.ncbi.nlm.nih.gov/22370314/,22370314,No central,No central
1225,Investigator + Central,Investigator?,Investigator + Central,Investigator?,Unclear,Phase 3,NCT00446225,EURTAC,Non-small cell lung cancer,Industry and Public,"Spanish Lung Cancer Group, Roche Farma, Hoff mann-La Roche, and Red Temática de Investigacion
Cooperativa en Cancer.",2,1,Erlotinib,Target therapy,Chemotherapy,Chemotherapy,PFS,RECIST 1.0,86,87,18.9/14.4,0.37,0.25,0.54,NA,NA,NA,86,50,87,13,NA,NA,NA,NA,19.3,19.5,1.04,0.65,1.68,"Erlotinib versus standard chemotherapy as first-line treatment for European patients with advanced EGFR mutation-positive non-small-cell lung cancer (EURTAC): a multicentre, open-label, randomised phase 3 trial.",The Lancet. Oncology,2012,Rosell R and Carcereny E and Gervais R and Vergnenegre A and Massuti B and Felip E and Palmero R and Garcia-Gomez R and Pallares C and Sanchez JM and Porta R and Cobo M and Garrido P and Longo F and Moran T and Insa A and De Marinis F and Corre R and Bover I and Illiano A and Dansin E and de Castro J and Milella M and Reguart N and Altavilla G and Jimenez U and Provencio M and Moreno MA and Terrasa J and Muﾃｱoz-Langa J and Valdivia J and Isla D and Domine M and Molinier O and Mazieres J and Baize N and Garcia-Campelo R and Robinet G and Rodriguez-Abreu D and Lopez-Vivanco G and Gebbia V and Ferrera-Delgado L and Bombaron P and Bernabe R and Bearz A and Artal A and Cortesi E and Rolfo C and Sanchez-Ronco M and Drozdowskyj A and Queralt C and de Aguirre I and Ramirez JL and Sanchez JJ and Molina MA and Taron M and Paz-Ares L,https://pubmed.ncbi.nlm.nih.gov/22285168/,22285168,No central,No central
1238,Investigator + Central,Investigator,Investigator + Central,Investigator?,Unclear,Phase 2,NCT00628251,No name,Ovarian cancer,Industry and Public,"AstraZeneca. S.B.K. Cancer Research UK and the Department of Health, through Experimental Cancer Medicine Centre and Biomedical Research Centre grants to the Royal Marsden Hospital and Institute of Cancer Research.",3,≥2,olaparib 200mg,Target therapy,pegylated liposomal doxorubicin,Chemotherapy,PFS,RECIST 1.0,32,33,NA,0.91,0.48,1.74,Data not shown,,,32,8,33,6,NA,NA,NA,NA,NA,NA,0.66,0.27,1.55,"Phase II, open-label, randomized, multicenter study comparing the efficacy and safety of olaparib, a poly (ADP-ribose) polymerase inhibitor, and pegylated liposomal doxorubicin in patients with BRCA1 or BRCA2 mutations and recurrent ovarian cancer.",Journal of clinical oncology : official journal of the American Society of Clinical           Oncology,2012,Kaye SB and Lubinski J and Matulonis U and Ang JE and Gourley C and Karlan BY and Amnon A and Bell-McGuinn KM and Chen LM and Friedlander M and Safra T and Vergote I and Wickens M and Lowe ES and Carmichael J and Kaufman B,https://pubmed.ncbi.nlm.nih.gov/22203755/,22203755,No central,No central
1251,Investigator + Central,Investigator,Investigator + Central,Investigator,Unclear,Phase 2,NCT00338130,No name,Melanoma,Industry,AstraZeneca,2,1,Selumetinib,Target therapy,Temozolomide,Chemotherapy,PFS,RECIST 1.0,104,96,NA,1.07,0.86,1.32,NA,NA,NA,104,6,96,9,NA,NA,NA,NA,284 days,369 days,1.351,0.95,1.93,"Phase II, open-label, randomized trial of the MEK1/2 inhibitor selumetinib as monotherapy versus temozolomide in patients with advanced melanoma.",Clinical cancer research : an official journal of the American Association for           Cancer Research,2012,Kirkwood JM and Bastholt L and Robert C and Sosman J and Larkin J and Hersey P and Middleton M and Cantarini M and Zazulina V and Kemsley K and Dummer R,https://pubmed.ncbi.nlm.nih.gov/22048237/,22048237,No central,No central
1264,Investigator + Central,TTP,Investigator + Central,Central,Unclear,Phase 2,NCT00418704,GFPC 0504,Non-small cell lung cancer,Industry,"Roche, Lilly, Sanofi-Aventis and Chugai",2,1,docetaxel/gemcitabine followed by erlotinib,Target therapy and Chemotherapy,erlotinib followed by docetaxel/gemcitabine,Target therapy and Chemotherapy,TTP2,RECIST 1.0,48,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,10,51,9,9.4,7.1,NA,NA,NA,"A multicentre phase II randomised trial of weekly docetaxel/gemcitabine followed by erlotinib on progression, vs the reverse sequence, in elderly patients with advanced non small-cell lung cancer selected with a comprehensive geriatric assessment (the GFPC 0504 study).",British journal of cancer,2011,LeCaer H and Barlesi F and Corre R and Jullian H and Bota S and Falchero L and Vergnenegre A and Dujon C and Delhoume JY and Chouaid C,https://pubmed.ncbi.nlm.nih.gov/21934690/,21934690,No PFS,No local
1308,Central,Investigator,Investigator + Central,Investigator,Unclear,Phase 2/3,NCT00112658,No name,Pancretic cancer,Public,French government,2,1,FOLFIRINOX,Chemotherapy,Gemcitabine,Chemotherapy,OS,RECIST 1.0,171,171,26.6,0.47,0.37,0.59,NA,NA,NA,171,54,171,16,NA,NA,NA,NA,11.1,6.8,0.57,0.45,0.73,FOLFIRINOX versus gemcitabine for metastatic pancreatic cancer.,The New England journal of medicine,2011,Conroy T and Desseigne F and Ychou M and Bouchﾃｩ O and Guimbaud R and Bﾃｩcouarn Y and Adenis A and Raoul JL and Gourgou-Bourgade S and de la Fouchardiﾃｨre C and Bennouna J and Bachet JB and Khemissa-Akouz F and Pﾃｩrﾃｩ-Vergﾃｩ D and Delbaldo C and Assenat E and Chauffert B and Michel P and Montoto-Grillot C and Ducreux M,https://pubmed.ncbi.nlm.nih.gov/21561347/,21561347,No central,No central
1366,Central,Central,Investigator + Central,Central,Blinding,Phase 2,NA,No name,Non-small cell lung cancer,Industry,Merck KGaA,3,2,Pemetrexed Plus Matuzumab (800 mg/wk),Target therapy and Chemotherapy,Pemetrexed,Chemotherapy,ORR,WHO criteria,51,50,NA,Data not shown,,,0.96,0.59,1.56,Data not shown,,,,51,8,50,2,12.4,7.9,0.67,0.37,1.21,Pemetrexed with or without matuzumab as second-line treatment for patients with stage IIIB/IV non-small cell lung cancer.,Journal of thoracic oncology : official publication of the International Association           for the Study of Lung Cancer,2010,Schiller JH and von Pawel J and Schﾃｼtt P and Ansari RH and Thomas M and Saleh M and McCroskey RD and Pfeifer W and Marsland TA and Kloecker GH and Sebastian M and Pirker R and Kurek R and Beadman C and Socinski MA,https://pubmed.ncbi.nlm.nih.gov/20978446/,20978446,No local,No local
1374,Investigator + Central,Central,Investigator + Central,Central,Blinding,Phase 3,NCT00339183,20050181,Colorectal cancer,Industry,Amgen Inc,2,2,Panitumumab and FOLFIRI,Target therapy and Chemotherapy,FOLFIRI,Chemotherapy,OS and PFS,RECIST 1.0,303,294,10.2/13.3,NA,NA,NA,0.73,0.59,0.9,NA,NA,NA,NA,297,104,285,29,14.5,12.5,0.85,0.7,1.04,"Randomized phase III study of panitumumab with fluorouracil, leucovorin, and irinotecan (FOLFIRI) compared with FOLFIRI alone as second-line treatment in patients with metastatic colorectal cancer.",Journal of clinical oncology : official journal of the American Society of Clinical           Oncology,2010,Peeters M and Price TJ and Cervantes A and Sobrero AF and Ducreux M and Hotko Y and Andrﾃｩ T and Chan E and Lordick F and Punt CJ and Strickland AH and Wilson G and Ciuleanu TE and Roman L and Van Cutsem E and Tzekova V and Collins S and Oliner KS and Rong A and Gansert J,https://pubmed.ncbi.nlm.nih.gov/20921462/,20921462,No local,No local
1380,Investigator + Central,"Central, No HR",Investigator + Central,Central,Blinding,Phase 2,NA,No name,Gastric cancer,Unclear,,2,1,Docetaxel/cisplatin followed by FOLFIRI,Chemotherapy,FOLFIRI followed by Docetaxel/cisplatin,Chemotherapy,Unclear,RECIST 1.0,28,30,38.2,NA,NA,NA,No HR,No HR,No HR,NA,NA,NA,NA,28,7,30,14,12.5,13.4,No HR,No HR,No HR,Docetaxel/cisplatin followed by FOLFIRI versus the reverse sequence in metastatic gastric cancer.,Cancer chemotherapy and pharmacology,2011,Kim JA and Lee J and Han B and Park SH and Park JO and Park YS and Lim HY and Kang WK,https://pubmed.ncbi.nlm.nih.gov/20878159/,20878159,No PFS,No local
1383,Investigator + Central,Central,No ORR,No ORR,Blinding,Phase 3,CRUK/01/010,NA,Glioma,Public,Cancer Research United Kingdom,2,1,Temozolomide,Chemotherapy,"Procarbazine, Lomustine and Vincristine",Chemotherapy,OS and PFS,Unclear,224,223,12,NA,NA,NA,0.89,0.73,1.08,NA,NA,NA,NA,NA,NA,NA,NA,6.7,7.2,0.91,0.74,1.11,"Temozolomide versus procarbazine, lomustine, and vincristine in recurrent high-grade glioma.",Journal of clinical oncology : official journal of the American Society of Clinical           Oncology,2010,Brada M and Stenning S and Gabe R and Thompson LC and Levy D and Rampling R and Erridge S and Saran F and Gattamaneni R and Hopkins K and Beall S and Collins VP and Lee SM,https://pubmed.ncbi.nlm.nih.gov/20855843/,20855843,No local,No ORR
1432,Investigator + Central,Central,Investigator + Central,Central,Blinding,Phase 2,NCT0021564436,No name,oesophago-gastric cancer,Industry,Merck KGaA,2,1,"Matuzumab plus epirubicin, cisplatin and capecitabine",Target therapy and Chemotherapy,"epirubicin, cisplatin and capecitabine",Chemotherapy,ORR,WHO criteria,36,36,28.5/23.0,NA,NA,NA,1.13,0.63,2.01,NA,NA,NA,NA,35,11,36,21,9.4,12.2,1.02,0.61,1.7,"Matuzumab plus epirubicin, cisplatin and capecitabine (ECX) compared with epirubicin, cisplatin and capecitabine alone as first-line treatment in patients with advanced oesophago-gastric cancer: a randomised, multicentre open-label phase II study.",Annals of oncology : official journal of the European Society for Medical Oncology,2010,Rao S and Starling N and Cunningham D and Sumpter K and Gilligan D and Ruhstaller T and Valladares-Ayerbes M and Wilke H and Archer C and Kurek R and Beadman C and Oates J,https://pubmed.ncbi.nlm.nih.gov/20497967/,20497967,No local,No local
1438,Investigator + Central,TTP,Investigator + Central,Central,Blinding,Phase 2,NA,No name,Prostate cancer,Industry,Antisoma Research Limited,2,1,Vadimezan and Docetaxel,Target therapy and Chemotherapy,Docetaxel,Chemotherapy,Unclear,RECIST 1.0,35,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,8,38,3,17,17.2,0.8,0.46,1.39,"Phase II study on the addition of ASA404 (vadimezan; 5,6-dimethylxanthenone-4-acetic acid) to docetaxel in CRMPC.",Clinical cancer research : an official journal of the American Association for           Cancer Research,2010,Pili R and Rosenthal MA and Mainwaring PN and Van Hazel G and Srinivas S and Dreicer R and Goel S and Leach J and Wong S and Clingan P,https://pubmed.ncbi.nlm.nih.gov/20460477/,20460477,No PFS,No local
1496,No PFS,No PFS,Investigator + Central,No ORR,Unclear,Phase 2,NA,No name,Breast cancer,Industry,Merck Serono,2,≥2,High-dose adecatumumab,Target therapy,Low-dose adecatumumab,Target therapy,clinical benefit rate (CBR),RECIST 1.0? ,NA,NA,NA,NA,NA,NA,NA,NA,NA,No ORR,No ORR,No ORR,No ORR,No ORR,No ORR,No ORR,No ORR,NA,NA,NA,NA,NA,"An open-label, randomized phase II study of adecatumumab, a fully human anti-EpCAM antibody, as monotherapy in patients with metastatic breast cancer.",Annals of oncology : official journal of the European Society for Medical Oncology,2010,Schmidt M and Scheulen ME and Dittrich C and Obrist P and Marschner N and Dirix L and Schmidt M and Rﾃｼttinger D and Schuler M and Reinhardt C and Awada A,https://pubmed.ncbi.nlm.nih.gov/19633042/,19633042,No PFS,No ORR
